conc_abs,e105-2015,e185-2016,e112-2015,e112-2015a,e098-2018,e012-2019,e038-2019,e084-2019,e056-2015
10,18.75,4.377104377,3.211009174,2.4,,,,,6.972477064
5,NA,4.377104377,,,,,,,
2.5,66.14583333,10.43771044,41.59021407,11.6,,,1.587301587,,105.4587156
1.25,NA,88.55218855,,,,,,,
0.6,57.63888889,137.037037,120.6422018,112.4,,,,,129.8623853
0.15,67.88194444,NA,,,,,,,70.59633028
2,,,,,2.449324324,,,2.72479564,
4,,,,,1.182432432,10.61728395,,2.72479564,
8,,,,,,2.469135802,,0,
16,,,,,,1.975308642,,0,
15,,,,,,,0,,