log10,e115-2017,e115a-2017,e018-2015,e021-2015a,e021-2015,e032-2011,e071-2012,e093-2017,e093-2017B,e119-2017,e122-2011,e111-2017,e111-2017a,e134-2017,e174-2017,e177-2011,e201-2012
1.301029996,,,,,,0,,,,,0.787037037,,,,,,
1.176091259,2.15,0,,,,,,0,0,0,,0.882352941,0,0,0,,
1,,,,0,,0,0,,,,0,,,,0,0,1.731601732
0.698970004,2.04,0,,,,0,,,,0.898203593,0,1.176470588,4.098360656,0,2.739726027,,
0.397940009,36.73,63.75,3.27,1.98,3.78,13.56,27.91,20.03538257,18.09593023,57.18562874,0.787037037,30.29411765,75.41,4.761904762,12.32876712,1.64126612,8.658008658
0.096910013,77.55,90,23.86,,,34.18,,58.91198585,39.68023256,150.5988024,6.296296296,100.5882353,277.8688525,29.16666667,97.26027397,,
-0.22184875,,,64.38,87.87,77.03,,178.98,93.14462627,104.2151163,,26.75925926,,,,,37.04572098,49.35064935
-0.522878745,,,192.81,,,,,,,,90.50925926,,,,,,
-0.823908741,,,41.5,106.68,101.16,,207.72,,,,96.80555556,,,,,94.95896835,135.9307359
-1.397940009,,,,,,,,83.98938523,97.45639535,,113.3333333,,,,,,
-0.795880017,,,,,,,,85.71428571,109.8837209,,,,,,,,
-0.159580222,,,,,,,,48.16452897,73.47383721,,,,,,,,
-1.096910013,,,,,,,,,,,82.63888889,,,,,,