conc_230,value,strain,exp,exp_ID_alt
4,89,NF54,M106,012-2019
8,98,NF54,M106,012-2019
16,98,NF54,M106,012-2019
2.5,98,NF54,M112,038-2019
15,100,NF54,M112,038-2019
2,97,NF54,M117,084-2019
4,97,NF54,M117,084-2019
8,100,NF54,M117,084-2019
16,100,NF54,M117,084-2019
4,62,NF135,M106,
8,93,NF135,M106,
16,95,NF135,M106,
2.5,0,NF135,M110,
15,64,NF135,M110,
2.5,39,NF135,M112,038-2019
15,98,NF135,M112,038-2019
2,0,NF135,M117,084-2019
4,41,NF135,M117,084-2019
8,87,NF135,M117,084-2019
16,99,NF135,M117,084-2019
4,4,NF175,M106,
8,17,NF175,M106,
16,12,NF175,M106,
2.5,47,NF175,M110,
15,31,NF175,M110,
2.5,70,NF175,M112,038-2019
15,52,NF175,M112,038-2019
32,14,NF175,150-2019,
64,3,NF175,150-2019,
128,0,NF175,150-2019,
32,0,NF175,203-2019,
64,0,NF175,203-2019,
128,0,NF175,203-2019,
16,0,NF149,209-2019,
32,1,NF149,209-2019,
64,45,NF149,209-2019,
128,82,NF149,209-2019,
2,53,NF183,143-2019,
4,81,NF183,143-2019,
8,95,NF183,143-2019,
16,99,NF183,143-2019,
2,0,NF183,187-2019,
4,59,NF183,187-2019,
8,87,NF183,187-2019,
16,91,NF183,187-2019,
16,-57,NF176,132-2019,
32,29,NF176,132-2019,
64,14,NF176,132-2019,
128,0,NF176,132-2019,
16,63,NF176,136-2019,
32,27,NF176,136-2019,
64,90,NF176,136-2019,
128,27,NF176,136-2019,
16,75,NF149,088-2019,
8,35,NF149,088-2019,
4,40,NF149,088-2019,
2,65,NF149,088-2019,
10,93.02752294,NF54,056-2015,
2.5,-5.4587156,NF54,056-2015,
0.6,-29.8623853,NF54,056-2015,
0.15,29.40366972,NF54,056-2015,
10,95.622895623,NF54,e185-2016,
5,95.622895623,NF54,e185-2016,
2.5,89.56228956,NF54,e185-2016,
1.25,11.44781145,NF54,e185-2016,
0.6,-37.037037,NF54,e185-2016,
10,96.788991,NF54,e112-2015,
2.5,58.41,NF54,e112-2015,
0.6,-20.6422,NF54,e112-2015,
10,97.6,NF54,e112-2015a,
2.5,88.4,NF54,e112-2015a,
0.6,-12.4,NF54,e112-2015a,
10,81.25,NF54,e105-2015,
2.5,33.8541667,NF54,e105-2015,
0.6,42.361112,NF54,e105-2015,
0.15,32.1181,NF54,e105-2015,
2,97.55077,NF54,e098-2018,
4,98.8176,NF54,e098-2018,